GS1,GS10
2.45,3.11
2.2,2.87
1.66,2.59
1.13,2.37
0.82,2.38
1.03,2.38
1.21,2.51
1.59,2.68
1.91,2.78
2.36,2.97
2.73,2.96
2.61,2.96
2.74,3
3.35,3.38
3.68,3.59
3.42,3.41
3.65,3.8
4.07,3.92
3.18,3.21
1.84,2.98
1.23,2.97
3.05,3.76
3.29,3.86
3.61,3.99
4.07,4.34
5,4.68
5.14,4.69
4.02,4.25
3.36,4.15
3.07,3.8
2.86,3.84
2.88,3.74
3.06,3.88
3.06,3.98
3.18,4.06
3.06,3.93
3.03,3.91
3.06,3.98
3.01,3.86
3.03,3.93
3.2,3.99
3.57,4.08
3.81,4.13
3.91,4.22
3.83,4.17
3.84,4.2
4.02,4.18
4.06,4.21
3.99,4.21
4.2,4.29
4.72,4.62
4.97,4.87
4.97,4.81
5.82,5.18
5.2,4.84
4.35,4.54
4.48,5.02
5.24,5.3
5.71,5.7
5.58,5.74
5.98,5.72
5.45,5.46
6.19,6.03
6.34,6.3
7.04,6.57
7.82,7.16
8.17,7.65
6.97,7.07
7.55,7.84
6.73,7.39
5,6.39
3.69,5.7
5.64,6.52
5.41,6.14
4.6,5.93
4.67,6.07
4.93,6.11
5.52,6.55
5.52,6.36
6.85,6.71
7.31,6.9
8.31,7.09
7.27,6.74
7.76,7.21
8.67,7.54
8.87,8.04
7.31,7.43
6.11,7.73
6.29,7.86
7.75,8.43
6.6,8
6.21,7.73
6.52,7.86
5.84,7.59
4.89,6.87
5.5,7.46
5.8,7.28
6.53,7.34
6.96,7.69
7.31,8.04
8.09,8.46
8.64,8.42
10.3,9.01
10.25,9.12
9.57,8.91
10.84,9.33
11.98,10.39
15.82,12.75
8.16,9.78
11.52,11.51
14.88,12.84
13.71,13.12
14.86,13.47
16.52,15.32
12.85,13.72
13.95,13.86
14.07,14.3
10.85,12.34
8.91,10.54
9.04,10.51
9.66,10.85
10.16,11.65
10.11,11.83
10.59,12.32
12.08,13.56
11.58,12.52
9.33,11.5
9.86,11.86
7.8,10.16
8.07,10.37
7.67,9.26
7.03,7.78
6.73,7.8
5.77,7.45
5.87,7.11
6.03,7.25
6.8,8.4
7.67,9.42
7.17,8.99
6.71,8.37
7.49,8.92
8.09,8.98
8.99,9.11
9.57,9.36
8.44,8.28
8.22,8.19
7.72,7.84
8.35,8.59
8.1,8.48
7.76,8.89
7.05,8.08
6.4,8.11
6.36,8.28
5.57,7.65
4.38,7.09
4.63,7.54
4.17,7.26
3.18,6.42
3.71,6.77
3.33,5.98
3.54,5.96
3.36,5.36
3.61,5.77
4.32,6.48
5.27,7.1
5.76,7.46
7.14,7.81
6.43,7.2
5.64,6.17
5.62,6.2
5.31,5.71
5.34,6.27
5.81,6.91
5.83,6.83
5.47,6.3
5.8,6.69
5.69,6.49
5.52,6.21
5.53,5.81
5.39,5.65
5.41,5.5
4.71,4.81
4.52,4.65
4.78,5.23
5.1,5.9
5.25,5.92
5.84,6.28
6.22,6.26
6.17,6.1
6.13,5.8
5.6,5.24
4.3,4.89
3.58,5.28
2.82,4.73
2.22,5.09
2.57,5.28
2.2,4.93
1.72,3.87
1.45,4.03
1.24,3.81
1.01,3.33
1.24,4.27
1.31,4.27
1.19,3.83
2.12,4.73
2.12,4.13
2.67,4.23
3.3,4.5
3.36,4
3.85,4.2
4.35,4.47
4.77,4.72
5.16,5.11
4.97,4.72
4.94,4.56
4.92,4.56
4.96,5.1
4.14,4.52
3.26,4.1
1.54,3.51
2.42,4.1
1.91,3.69
0.49,2.42
0.64,2.82
0.51,3.72
0.4,3.4
0.37,3.59
0.4,3.73
0.32,3.2
0.26,2.65
0.29,3.29
0.26,3.41
0.18,3
0.1,1.98
0.12,1.98
